,gamunjangagi,jacheongbi,hallakgungi,chogong_three_brothers,yu_jeongseungs_daughter,yeosan_buin,nokdisaengi,chilseong_agi,samani,wongang_ami,noga_danpung_agissi,gangnim,jijang_agissi,sobyeolwang,daebyeolwang,daebyeolsang_manura,myeongjinguks_daughter,donghae_yonggungs_daughter
gamunjangagi,0.0,53.99752469181039,27.229157616563597,29.722813232690143,36.04101966249684,100.85707733967615,71.20832032063167,85.65838362577492,84.05109889280519,80.82438524302,68.90169943749474,53.97679857416329,70.94913061275798,72.03277807866851,63.789083458002736,77.17024376045111,83.08910531638176,71.33187643906493
jacheongbi,53.99752469181039,0.0,66.12171043518958,38.04101966249684,31.98076211353316,66.53908345800274,70.84902544988267,62.0087712549569,67.2587712549569,79.59902544988267,61.136895265444075,84.16648189186454,62.74428900898052,100.10707733967615,90.7936105461599,68.7587712549569,42.27827300200522,39.707513110645905
hallakgungi,27.229157616563597,66.12171043518958,0.0,31.404759474226502,42.620039370059054,98.96211251235322,51.49937810560445,79.25,77.14982043070833,65.24428900898053,59.5757569495584,27.25,59.11809247747852,49.82886552931954,41.60533905932738,61.789083458002736,84.75,73.1217782649107
chogong_three_brothers,29.722813232690143,38.04101966249684,31.404759474226502,0.0,15.74744871391589,74.66522986797287,51.718253804964775,61.727615711297986,58.886895265444075,59.55127018922193,43.1547594742265,48.94097208657794,46.91164991562634,68.12486080160912,59.38539126015655,53.34772228646444,56.65880433163923,45.53719262151
yu_jeongseungs_daughter,36.04101966249684,31.98076211353316,42.620039370059054,15.74744871391589,0.0,71.87486080160912,56.08326913195984,55.08326913195984,60.386895265444075,61.48397172404482,42.9037034920393,58.90169943749474,48.22983346207417,75.58203932499369,74.3074069840786,58.900729063673246,54.620192023179804,37.97281323269014
yeosan_buin,100.85707733967615,66.53908345800274,98.96211251235322,74.66522986797287,71.87486080160912,0.0,72.75,32.777756377319946,33.0,60.59772228646444,50.97983346207417,103.15971508067067,53.08300132670378,101.9717922246318,102.17388155425118,79.16281297335398,34.25,50.68626966596886
nokdisaengi,71.20832032063167,70.84902544988267,51.49937810560445,51.718253804964775,56.08326913195984,72.75,0.0,46.01162633521314,52.492346141747674,35.96320343559643,45.28719262151,45.15880433163923,33.29449471770337,61.734753829797995,63.40169943749474,41.166573867739416,68.67826876426369,66.4768050859363
chilseong_agi,85.65838362577492,62.0087712549569,79.25,61.727615711297986,55.08326913195984,32.777756377319946,46.01162633521314,0.0,33.96320343559643,49.82886552931954,45.20714214271425,80.81145747868608,44.20714214271425,90.11355820929153,96.66843969807043,63.7587712549569,50.080992435478315,53.52692569068709
samani,84.05109889280519,67.2587712549569,77.14982043070833,58.886895265444075,60.386895265444075,33.0,52.492346141747674,33.96320343559643,0.0,30.860679774997898,27.614916731037084,77.98724356957945,32.1628784747792,75.6334841531101,84.12397165588672,64.77692569068708,47.95714214271425,46.370039370059054
wongang_ami,80.82438524302,79.59902544988267,65.24428900898053,59.55127018922193,61.48397172404482,60.59772228646444,35.96320343559643,49.82886552931954,30.860679774997898,0.0,21.614916731037084,57.58300132670378,18.25,49.802167895721496,71.99937185533099,47.742346141747674,66.44696007084728,51.97679857416329
noga_danpung_agissi,68.90169943749474,61.136895265444075,59.5757569495584,43.1547594742265,42.9037034920393,50.97983346207417,45.28719262151,45.20714214271425,27.614916731037084,21.614916731037084,0.0,60.136895265444075,13.24744871391589,55.38539126015655,74.31390245600107,45.52827300200522,49.666247903554,31.6638126514911
gangnim,53.97679857416329,84.16648189186454,27.25,48.94097208657794,58.90169943749474,103.15971508067067,45.15880433163923,80.81145747868608,77.98724356957945,57.58300132670378,60.136895265444075,0.0,56.94097208657794,26.5,23.5,55.24752469181039,92.33259586659682,81.17024376045111
jijang_agissi,70.94913061275798,62.74428900898052,59.11809247747852,46.91164991562634,48.22983346207417,53.08300132670378,33.29449471770337,44.20714214271425,32.1628784747792,18.25,13.24744871391589,56.94097208657794,0.0,52.96152422706632,72.85164807134504,38.08882181415011,50.85533905932738,37.95714214271425
sobyeolwang,72.03277807866851,100.10707733967615,49.82886552931954,68.12486080160912,75.58203932499369,101.9717922246318,61.734753829797995,90.11355820929153,75.6334841531101,49.802167895721496,55.38539126015655,26.5,52.96152422706632,0.0,28.0,66.91281297335398,98.46427811873333,81.51237921249263
daebyeolwang,63.789083458002736,90.7936105461599,41.60533905932738,59.38539126015655,74.3074069840786,102.17388155425118,63.40169943749474,96.66843969807043,84.12397165588672,71.99937185533099,74.31390245600107,23.5,72.85164807134504,28.0,0.0,68.03908345800274,91.86666000266533,95.07168761236873
daebyeolsang_manura,77.17024376045111,68.7587712549569,61.789083458002736,53.34772228646444,58.900729063673246,79.16281297335398,41.166573867739416,63.7587712549569,64.77692569068708,47.742346141747674,45.52827300200522,55.24752469181039,38.08882181415011,66.91281297335398,68.03908345800274,0.0,60.67676385936225,54.33300132670378
myeongjinguks_daughter,83.08910531638176,42.27827300200522,84.75,56.65880433163923,54.620192023179804,34.25,68.67826876426369,50.080992435478315,47.95714214271425,66.44696007084728,49.666247903554,92.33259586659682,50.85533905932738,98.46427811873333,91.86666000266533,60.67676385936225,0.0,30.25
donghae_yonggungs_daughter,71.33187643906493,39.707513110645905,73.1217782649107,45.53719262151,37.97281323269014,50.68626966596886,66.4768050859363,53.52692569068709,46.370039370059054,51.97679857416329,31.6638126514911,81.17024376045111,37.95714214271425,81.51237921249263,95.07168761236873,54.33300132670378,30.25,0.0
